source_provider_name,source_health_system,source_geography,source_service_line,source_market,source_period,source_volume,payer_type,data_source,source_file
HCA,HCA Healthcare,Richmond,Orthopedics,Virginia Demo Market,Q1/2020,1106,Unknown,mock_source_v2,provider_volume_2019_2023.csv
Bon Secours,Bon Secours Mercy Health,Richmond,ONC,Virginia Demo Market,2021 Q1,419,Medicare,mock_source_v2,provider_volume_2019_2023.csv
Privia Health,Privia Health Group,Northern Virginia,Women,Virginia Demo Market,2020-Q2,246,All Payer,mock_source_v2,provider_volume_2019_2023.csv
Carilion,Carilion Clinic,Roanoke,Emergency Services,Virginia Demo Market,2023 Q2,1086,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
vcu health,VCU Health System,Richmond,CARDIOLOGY,Virginia Demo Market,2019 Q3,1014,All Payer,mock_source_v2,provider_volume_2019_2023.csv
Sentara,,Hampton Roads,Orthopedic,Virginia Demo Market,Oct-Dec 2023,1568,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
VCU,VCU Health System,Richmond,ER Services,Virginia Demo Market,Q1/2022,1947,All Payer,mock_source_v2,provider_volume_2019_2023.csv
Loudoun Hospital,Inova Health System,Northern Virginia,Neurological Svcs,Virginia Demo Market,2023-Q2,330,Commercial,mock_source_v2,vol_export_final.csv
U.V.A. Health,UVA Health,Charlottesville,ONCOLOGY,Virginia Demo Market,2020 Q1,1180,Commercial,mock_source_v2,vol_export_final.csv
UVA Healthcare,UVA Health,Charlottesville,BEHAVIORAL HEALTH,Virginia Demo Market,Q1-2023,445,Medicare,mock_source_v2,vol_export_final.csv
UNIVERSITY OF VIRGINIA HEALTH,UVA Health,Charlottesville,Orthopedic,Virginia Demo Market,Q4-2019,798,Medicare,mock_source_v2,vol_export_final.csv
V.C.U. Health,VCU Health System,Richmond,EMERGENCY,Virginia Demo Market,Apr-Jun 2022,1728,Medicaid,mock_source_v2,vol_export_final.csv
CARILION CLINIC,,Roanoke,GASTROENTEROLOGY,Virginia Demo Market,Q2/2021,443,Commercial,mock_source_v2,vol_export_FINAL_v2.csv
PRIVIA HEALTH GROUP,Privia Health Group,Northern Virginia,EMERGENCY,Virginia Demo Market,Q3 2021,104 cases,Medicare,mock_source_v2,vol_export_final.csv
SENTARA,Sentara Healthcare,Hampton Roads,G.I.,Virginia Demo Market,Q4-2020,638,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Novant Health,Novant Health,Northern Virginia,ONCOLOGY,Virginia Demo Market,Q3-2023,337,All Payer,mock_source_v2,vol_export_final.csv
UVA Healthcare,UVA Health,Charlottesville,emergency services,Virginia Demo Market,2023 Q4,1451,All Payer,mock_source_v2,vol_export_final.csv
Inova Loudoun Hospital,Inova Health System,Northern Virginia,EMERGENCY,Virginia Demo Market,Jan-Mar 2023,ERROR,Commercial,mock_source_v2,provider_volume_2019_2023.csv
Inova Loudoun,Inova Health System,Northern Virginia,womens hlth,Virginia Demo Market,Q3 2020,667,Unknown,mock_source_v2,vol_export_FINAL_v2.csv
UNIVERSITY OF VIRGINIA HEALTH,UVA Health,Charlottesville,NEUROLOGY,Virginia Demo Market,2021-Q3,954,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
sentara hlth,Sentara Healthcare,Hampton Roads,Emergency,Virginia Demo Market,Q2/2022,2402,All Payer,mock_source_v2,provider_volume_2019_2023.csv
medstar health,MedStar Health,DC Metro,cancer,Virginia Demo Market,2023 Q3,1017,All Payer,mock_source_v2,provider_volume_2019_2023.csv
BSMH,Bon Secours Mercy Health,Richmond,Orthopedics,Virginia Demo Market,Q2 2020,576,,mock_source_v2,vol_export_FINAL_v2.csv
BSMH,Bon Secours Mercy Health,Richmond,Musculoskeletal,Virginia Demo Market,Q1/2021,1000,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
MedStar,MedStar Health,DC Metro,gi services,Virginia Demo Market,Q2/2022,647,All Payer,mock_source_v2,provider_volume_2019_2023.csv
Inova Fairfax,Inova Health System,Northern Virginia,GI,Virginia Demo Market,2019 Q3,936,,mock_source_v2,provider_volume_2019_2023.csv
PRIVIA,Privia Health Group,Northern Virginia,women's health,Virginia Demo Market,2021 Q1,534,All Payer,mock_source_v2,provider_volume_2019_2023.csv
Bon Secours Health,Bon Secours Mercy Health,Richmond,MSK,Virginia Demo Market,Q3-2020,962,Medicaid,mock_source_v2,vol_export_final.csv
Novant Health,Novant Health,Northern Virginia,gi services,Virginia Demo Market,Q1-2023,,Commercial,mock_source_v2,provider_volume_2019_2023.csv
BON SECOURS,Bon Secours Mercy Health,Richmond,WOMENS HEALTH,Virginia Demo Market,Q3-2023,1430,Medicare,mock_source_v2,vol_export_final.csv
CARILION CLINIC,Carilion Clinic,Roanoke,Neuro,Virginia Demo Market,Q4/2021,745,All Payer,mock_source_v2,vol_export_final.csv
VCU Medical Center,VCU Health System,Richmond,neurology,Virginia Demo Market,Jul-Sep 2023,"1,622",Commercial,mock_source_v2,vol_export_final.csv
Med Star,MedStar Health,DC Metro,E.D.,Virginia Demo Market,2023-Q2,1986,Medicare,mock_source_v2,vol_export_final.csv
NOVANT HEALTH,Novant Health,Northern Virginia,Psych,Virginia Demo Market,Q3/2020,168,Medicare,mock_source_v2,provider_volume_2019_2023.csv
U.V.A. Health,UVA Health,Charlottesville,gastro,Virginia Demo Market,2023 Q2,555,All Payer,mock_source_v2,vol_export_final.csv
UVA Health,UVA Health,Charlottesville,Oncology,Virginia Demo Market,Q1 2021,1281,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Sentara Health,Sentara Healthcare,Hampton Roads,Psych,Virginia Demo Market,Q4-2023,481,Medicare,mock_source_v2,provider_volume_2019_2023.csv
MEDSTAR HEALTH,MedStar Health,DC Metro,Ob-Gyn,Virginia Demo Market,2021-Q4,1100,All Payer,mock_source_v2,provider_volume_2019_2023.csv
Carilion Clinic,Carilion Clinic,Roanoke,women's health,Virginia Demo Market,2019-Q4,721,Unknown,mock_source_v2,vol_export_final.csv
